external_id,source_portal,source_url,title,description,offer_type,price,area,rooms,floor,year_built,has_elevator,is_accessible,location,address,district_id,noise_db_min,noise_db_max
67966213,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-3-700-pln-oplaty-browar-gdanski-bez-prowizji-ID4Bb7f,2 pokoje | 3 700 PLN + opłaty | Browar Gdański | Bez prowizji,,rent,3700,39,TWO,,,,,,pomorskie,,,
67966194,otodom,https://www.otodom.pl/pl/oferta/3-pokoje-5-200-pln-niskie-oplaty-browar-gdanski-bez-prowizji-ID4Bb6V,3 pokoje | 5 200 PLN + niskie opłaty | Browar Gdański | Bez prowizji,,rent,5200,66,THREE,,,,,,pomorskie,,,
96797337400067,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-morelowa-jasien-ID4BcYK,"Mieszkanie 2-pokojowe, Morelowa (Jasień)",,rent,2200,42.5,TWO,,,,,,pomorskie,,,
67966168,otodom,https://www.otodom.pl/pl/oferta/komfortowe-studio-browar-gdanski-25m2-3300-pln-niskie-oplaty-ID4Bb6v,Komfortowe studio | Browar Gdański | 25m2 | 3300 PLN + niskie opłaty,,rent,3300,25,ONE,,,,,,pomorskie,,,
67966159,otodom,https://www.otodom.pl/pl/oferta/stylowe-studio-browar-gdanski-28m2-3200-pln-niskie-oplaty-ID4Bb6n,Stylowe studio | Browar Gdański | 28m2 | 3200 PLN + niskie opłaty,,rent,3200,28,ONE,,,,,,pomorskie,,,
67966145,otodom,https://www.otodom.pl/pl/oferta/komfortowe-studio-37-m2-brak-prowizji-browar-gdanski-ID4Bb69,Komfortowe studio 37 m2| Brak prowizji |Browar Gdański,,rent,3400,37,ONE,,,,,,pomorskie,,,
67966058,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-srodmiescie-ID4Bb4K,Mieszkanie - Gdańsk Śródmieście,,rent,3600,47,TWO,,,,,,pomorskie,,,
67966015,otodom,https://www.otodom.pl/pl/oferta/stare-miasto-50m2-bezposrednio-przy-motlawie-ID4Bb43,Stare Miasto | 50m2 | Bezpośrednio przy Motławie |,,rent,3100,50,TWO,,,,,,pomorskie,,,
67965949,otodom,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-2-pokojowe-ID4Bb2Z,Przytulne mieszkanie 2 pokojowe,,rent,2700,35,TWO,,,,,,pomorskie,,,
67498457,otodom,https://www.otodom.pl/pl/oferta/posiadamy-do-wynajecia-bardzo-atrakcyjny-zupelnie-ID4zdqN,"Posiadamy do wynajęcia bardzo atrakcyjny, zupełnie",,rent,3000,46,TWO,,,,,,pomorskie,,,
67956612,otodom,https://www.otodom.pl/pl/oferta/posiadamy-do-wynajecia-atrakcyjne-3-pok-mieszkanie-w-srodmiesciu-ID4B8Co,Posiadamy do wynajęcia atrakcyjne 3 pok.mieszkanie w Śródmieściu.,,rent,4300,58,THREE,,,,,,pomorskie,,,
67766811,otodom,https://www.otodom.pl/pl/oferta/centrum-miasta-3-pokoje-miejsce-w-hali-ID4Alf5,centrum miasta | 3 pokoje | miejsce w hali,,rent,4500,63,THREE,,,,,,pomorskie,,,
67796666,otodom,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-blisko-centrum-ID4At0C,Przestronne mieszkanie blisko centrum,,rent,3600,54,THREE,,,,,,pomorskie,,,
64569802,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-garnizon-hemara-39m2-ID4mWyq,Mieszkanie do wynajęcia Garnizon ( Hemara ) 39m2,,rent,3500,39,TWO,,,,,,pomorskie,,,
67837499,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-w-nowym-budownictwie-ID4ADDd,Mieszkanie na wynajem w nowym budownictwie,,rent,3200,56,THREE,,,,,,pomorskie,,,
66558077,otodom,https://www.otodom.pl/pl/oferta/srodmiescie-2-niezalezne-pokoje-balkon-od-maja-ID4wgNn,"Śródmieście, 2 niezależne pokoje, balkon, od maja",,rent,2500,50,TWO,,,,,,pomorskie,,,
66937920,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-oddzielna-kuchnia-i-miejscem-postojowym-w-hali-ID4vRBS,Mieszkanie 2 pokojowe z oddzielną kuchnią i miejscem postojowym w hali,,rent,3600,50,TWO,,,,,,pomorskie,,,
67965038,otodom,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-osiedlu-pastelowym-ID4BaOi,Przytulne mieszkanie na osiedlu Pastelowym,,rent,2600,38,TWO,,,,,,pomorskie,,,
66068816,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-47m2-do-wynajecia-gdansk-matarnia-ID4tdv4,"2 pokoje, 47m2, do wynajęcia Gdańsk-Matarnia",,rent,2800,47.27,TWO,,,,,,pomorskie,,,
67964382,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-gdansk-oliwa-przymorze-idea-ID4BaDI,3-pokojowe mieszkanie Gdańsk Oliwa Przymorze Idea,,rent,5300,68.55,THREE,,,,,,pomorskie,,,
67964371,otodom,https://www.otodom.pl/pl/oferta/prestizowy-apartament-2-pokojowy-do-wynajecia-w-atrium-oliva-ID4BaDx,Prestiżowy apartament 2-pokojowy do wynajęcia w Atrium Oliva,,rent,3700,42.5,TWO,,,,,,pomorskie,,,
67964316,otodom,https://www.otodom.pl/pl/oferta/apartament-w-stylu-boho-w-centrum-ID4BaCE,Apartament w stylu BOHO w centrum,,rent,3700,44,TWO,,,,,,pomorskie,,,
67964164,otodom,https://www.otodom.pl/pl/oferta/centru-wrzeszcza-tramwaj-3-minuty-blisko-pg-gumed-ID4BaAc,"Centru Wrzeszcza tramwaj 3 minuty blisko Pg, Gumed",,rent,2200,19.5,ONE,,,,,,pomorskie,,,
67963970,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-widokiem-ID4Bax4,3- pokojowe mieszkanie z widokiem.,,rent,4300,58,THREE,,,,,,pomorskie,,,
67051377,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-42-m-gdansk-ID4xl7P,"Mieszkanie, 42 m², Gdańsk",,rent,3400,42,TWO,,,,,,pomorskie,,,
67963652,otodom,https://www.otodom.pl/pl/oferta/2-niezalezne-pokoje-od-zaraz-winda-balkon-hala-ID4BarV,"2 niezależne pokoje, od zaraz winda, balkon, hala",,rent,3250,54.2,TWO,,,,,,pomorskie,,,
67963466,otodom,https://www.otodom.pl/pl/oferta/nowe-wysoki-standard-z-ogrodkiem-miejsce-postojowe-pierwszy-najemca-ID4BaoV,"Nowe, Wysoki Standard z Ogródkiem, Miejsce postojowe, PIERWSZY NAJEMCA",,rent,4000,55,THREE,,,,,,pomorskie,,,
64584221,otodom,https://www.otodom.pl/pl/oferta/przestronne-komfortowe-mieszkanie-ID4mZiZ,"Przestronne, komfortowe mieszkanie",,rent,2950,40,TWO,,,,,,pomorskie,,,
